contratacao,status_contratacao,unidade,objeto,fornecedor,cpf_cnpj,valor_estimado,valor_empenhado,valor_liquidado,valor_pago
2023001500,Ativo,SEIOP - SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS PUBLICAS - SEIOP,Participação do 18 Congresso de pregoeiros Fo do Iguaçu,INSTITUTO NEGOCIOS PUBLICOS DO BRASIL - ESTUDOS E PESQUISAS NA ADMINISTRACAO PUBLICA - INP - LTDA,10.498.974/0002-81,17980,17980,17980,17980
2023001501,Ativo,SEELJE - SEC DE EST  ESPORTE/ LAZER E JUVENTUDE,Fornecimento de energia elétrica,LIGHT SERVICOS DE ELETRICIDADE SA,60.444.437/0001-46,144000,96000,40008.88,40008.88
2023001502,Ativo,SEPM - Secretaria de Estado de Polícia Militar,AQUISIÇÃO de MATERIAL DE OSTEOSSÍNTESE PLACAS E PARAFUSOS DE TITÂNIO ,RPM COMERCIO DE MATERIAL HOSPITALAR LTDA,40.396.103/0001-37,1955065.14,1955065.14,,
2023001503,Ativo,SEIOP - SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS PUBLICAS - SEIOP,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE REVESTIMENTO ASFÁLTICO/ DRENAGEM/ CONSTRUÇÃO DE GALERIAS DE ÁGUAS PLUVIAIS E ELABORAÇÃO DE PROJETO EXECUTIVO EM LOGRADOUROS PÚBLICOS,STATLED BRASIL CONSTRUTORA E PARTICIPAÇÕES S.A.,10.526.336/0001-46,16774604.06,1100000,,
2023001504,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO,NSA DISTRIBUIDORA DE MEDICAMENTOS EIRELLI,34.729.047/0001-02,873585,873.59,,
2023001505,Ativo,SEIOP - SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS PUBLICAS - SEIOP,EXECUÇÃO DE PROJETO EXECUTIVO E OBRA DE DRENAGEM URBANA/ PAVIMENTAÇÃO E SINALIZAÇÃO VIÁRIA DE LOGRADOUROS PÚBLICOS DO BAIRRO VILA CAMARIM DO - QUEIMADOS - RJ,STATLED BRASIL CONSTRUTORA E PARTICIPAÇÕES S.A.,10.526.336/0001-46,6784130.44,2000000,,
2023001506,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO,ASTRAZENECA DO BRASIL LTDA.,60.318.797/0001-00,20159.55,20159.55,20159.55,20159.55
2023001507,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO,ONCOVIT DISTRIBUIDORA DE MEDICAMENTOS LTDA ME (MATRIZ),10.586.940/0001-68,7700,7700,,
2023001508,Ativo,SEIOP - SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS PUBLICAS - SEIOP,OBRA E SERVIÇOS DE ESTABILIZAÇÃO DE ENCOSTA DA RUA DIAMANTINA.,SEEL - SERVIÇOS ESPECIAIS DE ENGENHARIA LTDA,72.030.927/0001-85,7164319.69,1000000,,
2023001509,Ativo,SEPLAG - Secretaria de Estado de Planejamento e Gestão,Aquisição de elementos filtrantes compatíveis com purificadores de água da marca Latina PA335 da SEPLAG novos nunca usados para atender as necessidades da Secretaria de Planejamento e Gestão localiada no Ed Estácio de Sá,42.430.153 EUCLIDES PAULINO DO NASCIMENTO,42.430.153/0001-19,2190,2190,,
2023001510,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,AQUISIÇÃO DE PAPEL OFFSET,ALM&NOVAES COMERCIO E SERVICOS LTDA.-ME,10.696.670/0001-48,17492.8,17492.8,,
2023001511,Ativo,FUNESBOM - FUNDO ESPECIAL DO CORPO DE BOMBEIROS,CREDENCIAMENTO 02,CASA DE SAÚDE JOÃO XXIII LTDA,29.619.822/0001-37,30547.44,5000,694.26,694.26
2023001512,Ativo,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de insumos hospitalares dedesinfecção álcool 70 e detergente hospitalar,ESSENCIAL RIO DISTRIBUIDORA DE PRODUTOS MEDICOS E HOSPITALARES LTDA,24.875.483/0001-36,1700,1700,,
2023001513,Ativo,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de insumos hospitalares dedesinfecção álcool 70 e detergente hospitalar,INDALABOR INDAIA LABORATORIO FARMACEUTICOLTDA(MATRIZ),04.654.861/0001-44,252,252,,
2023001514,Ativo,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de insumos hospitalares dedesinfecção álcool 70 e detergente hospitalar,ESPECIFARMA COMERCIO DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA,00.085.822/0001-12,358.2,358.2,358.2,358.2
2023001515,Ativo,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de insumos hospitalares dedesinfecção álcool 70 e detergente hospitalar,NOVA LINEA COMERCIO DE PRODUTOS FARMACEUTICOS EIRELI,32.350.180/0001-28,241.5,241.5,,
2023001516,Em Aberto,SECC - Secretaria de Estado da Casa Civil (Antiga SEGOV),Participação de 04 servidores da Secretaria de Estado da Casa Civil no 18 Congresso Brasileiro de Pregoeiros a ser realiado no período de 28 a 31 de março de 2023 em Fo do Iguaçu,INSTITUTO NEGOCIOS PUBLICOS ESTUDOS E PESQUISA NA ADMNINISTRAÇÃO PUBLICA-INP-LTDA,10.498.974/0001-09,18000,18000,,
2023001517,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,EP SUPRIMENTOS LTDA,34.144.836/0001-81,112731,112731,112731,112731
2023001518,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,EXCELENCIA DO SABER DISTRIBUIDORA EDUCACIONAL LTDA,17.211.630/0001-08,47888.4,47888.4,47888.4,
2023001519,Ativo,SECEC - Sec de Estado de Cultura e Econ Criativa,Serviços continuados de outsourcing para operação de almoxarifado virtual para atender as necessidades da SECEC ,BRS SP SUPRIMENTOS CORPORATIVOS S/A,03.746.938/0001-43,1598024.27,35894.04,4430.74,4430.74
2023001520,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,D-MED MATERIAL MÉDICO LABORATORIAL LTDA,40.159.576/0001-10,111564,111564,109740,109740
2023001521,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA,05.155.425/0001-93,2797.5,2797.5,,
2023001522,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA,44.734.671/0001-51,79730,79730,79730,79730
2023001523,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,DIMASTER COMÉRCIO DE  PRODUTOS HOSPITALARES LTDA,02.520.829/0001-40,7145.1,7145.1,7145.1,7145.1
2023001524,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,MEDKA HOSPITALAR EIRELI,36.958.637/0001-32,165900,165900,,
2023001525,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,RALIC COMERCIO E DISTRIBUICAO LTDA,24.602.657/0001-97,51036.24,51036.24,,
2023001526,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,CR MED SERVICOS E COMERCIO DE MATERIAIS DE USO MEDICO E HOSPITALAR LTDA,29.321.734/0001-54,121072,121072,,
2023001527,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,DBV COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO DO BRASIL LTDA,17.771.867/0001-43,9450,9450,,
2023001528,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,EP SUPRIMENTOS LTDA,34.144.836/0001-81,95993.6,95993.6,95993.6,95993.6
2023001529,Aguard. Liberação,SEPOL - Secretaria de Estado de Policia Civil,Aquisição de reagentes líquidos por meio de adesão à ATA 0012023,BIO SCIE INDUSTRIA E COMÉRCIO LTDA,11.375.069/0001-16,95787.9,95787.9,,
2023001530,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO,NOVARTIS BIOCIÊNCIAS S.A.,56.994.502/0027-79,27233.52,27233.52,27233.52,27233.52
2023001531,Ativo,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,AQUISIÇÃO DE MATERIAL,MILLE COMERCIAL - EIRELI - ME,28.641.966/0001-27,11921.31,11921.31,11921.31,2382.94
2023001532,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,DIAMED LATINO AMERICA S.A,71.015.853/0001-45,2976,2976,2976,2976
2023001533,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,00.683.826/0001-00,1701.5,1701.5,1701.5,1701.5
2023001534,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,CRYSSIL FORNECEDORA DE MATERIAIS E SERVIÇOS ESPECIALIZADOS LTDA,00.059.062/0001-79,780,780,780,780
2023001535,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO,ONCOVIT DISTRIBUIDORA DE MEDICAMENTOS LTDA ME (MATRIZ),10.586.940/0001-68,1200.6,1200.6,1200.6,1200.6
2023001536,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,STERI-GRAU PRODUTOS HOSPITALARES LTDA - ME,05.746.252/0001-88,73920,73920,73920,73920
2023001537,Ativo,IPEM-RJ - INSTITUTO DE PESOS E MEDIDAS DO ESTADO DO RJ,CONTRATO DE PRESTAÇÃO DE SERVIÇOS CONTÍNUOS DE OUTSOURCING PARA OPERAÇÃO DE ALMOXARIFADO VIRTUAL,BRS SP SUPRIMENTOS CORPORATIVOS S/A,03.746.938/0001-43,2713868.4,74043.77,34544.53,
2023001538,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,AQUISIÇÃO DO MEDICAMENTO METILERGOMETRINA ID 57884,MEDKA HOSPITALAR EIRELI,36.958.637/0001-32,309,309,309,309
2023001539,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,AQUISIÇÃO DO MEDICAMENTO HIDRALAZINA ID 17803,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA,44.734.671/0001-51,2935,2935,2935,2935
2023001541,Em Aberto,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,AQUISIÇÃO DO MEDICAMENTO ÓLEO MINERAL ID 18115,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA,44.734.671/0001-51,4170,4170,4170,4170
2023001542,Em Aberto,AGENERSA - AG REGUL ENERGIA E SANEAMENTO DO EST RJ,Inscrição de 02 dois servidores no 18 Congresso Brasileiro de Pregoeiros a ser realiado no período de 28 a 31 de março de 2023 em Fo do Iguaçu PR cujo objetivo é o aprimoramento dos servidores que atuam diretamente com as contratações da AGENERSA principalmente com o pregão,INSTITUTO NEGOCIOS PUBLICOS ESTUDOS E PESQUISA NA ADMNINISTRAÇÃO PUBLICA-INP-LTDA,10.498.974/0001-09,7980,7980,7860.3,7860.3
2023001543,Em Aberto,INEA - INSTITUTO ESTADUAL DO AMBIENTE,Contratação da IMPRENSA NACIONAL para prestação de serviços de publicações no Diário Oficial da UniãoDOU,IMPRENSA NACIONAL,04.196.645/0001-00,12000,12000,,
2023001544,Ativo,FMIS - FUNDAÇÃO MUSEU DA IMAGEM E DO SOM,Contratação de empresa especialiada no fornecimento de materiais tais como ferramental peças componentes e acessórios correspondentes aos serviços de obra e manutenção predial da Fundação Museu da Imagem e do Som localiados a no térreo da FMISLapa,PROCLEAN PRODUTOS E LIMPEZA LTDA,11.189.443/0001-99,11513.26,11513.26,11513.26,11513.26
2023001545,Ativo,FMIS - FUNDAÇÃO MUSEU DA IMAGEM E DO SOM,Prestação de serviços de fornecimento de energia elétrica às unidades administrativas da FMISRJ durante o período de FEV23 a DEZ23,LIGHT SERVICOS DE ELETRICIDADE SA,60.444.437/0001-46,77000,,,
2023004199,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de medicamentos para o Hospital Universitário Pedro Ernesto,UNIQUE DISTRIBUIDORA DE MEDICAMENTOS EIRELI,23.864.942/0001-13,106123.5,4996,4996,4996
2023004200,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,SICAFLA COMERCIO DE PRODUTOS FARMACEUTICOS EIRELI,03.828.079/0001-31,34215.09,34215.09,34215.09,34215.09
2023004201,Ativo,SEPM - Secretaria de Estado de Polícia Militar,AQUISIÇÃO DE CAPACETE DE PROTEÇÃO INDIVIDUAL DE POLICIAMENTO OSTENSIVO GERAL MONTADO,CASA DO CAPACETE EQUIPAMENTOS DE SEGURANÇA,00.174.699/0001-06,67350,67350,67350,67350
2023004202,Ativo,FUNDEAGRO  - Fundo Estadual de Defesa Agropecuária,Prestação de Serviços de Seguro Total para Veículos Oficiais que se encontram a disposição da Superintendência de Defesa Agropecuária SUPDA,GENTE SEGURADORA S.A.,90.180.605/0001-02,126000,126000,,
2023004203,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,ATENDER AS NECESSIDADES DAS UNIDADES DESAÚDE DA POLÍCIA MILITAR,COMERCIAL CIRÚRGICA RIOCLARENSE LTDA,67.729.178/0002-20,15034.4,15034.4,,
2023004204,Em Aberto,SETUR - SECRETARIA DE TURISMO,Participação da SETUR na Wine In Búios nos dias 08 09 10 11 16 17 e 18 de junho de 2023,BZ SPORTS CONSULTORIA E GESTÃO ESPORTIVA LTDA,43.073.114/0001-74,50000,50000,50000,50000
2023004205,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,ATENDER AS NECESSIDADES DAS UNIDADES DESAÚDE DA POLÍCIA MILITAR,LEMAN MEDICAMENTOS E CIA LTDA,40.600.760/0001-54,285.5,285.5,,
2023004206,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,ATENDER AS NECESSIDADES DAS UNIDADES DESAÚDE DA POLÍCIA MILITAR,MEDKA HOSPITALAR EIRELI,36.958.637/0001-32,636.75,636.75,636.75,636.75
2023004207,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,ATENDER AS NECESSIDADES DAS UNIDADES DESAÚDE DA POLÍCIA MILITAR,ESPECIFARMA COMERCIO DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA,00.085.822/0001-12,1280,1280,1280,1280
2023004208,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,ATENDER AS NECESSIDADES DAS UNIDADES DESAÚDE DA POLÍCIA MILITAR,DROGAFONTE LTDA.,08.778.201/0001-26,2362.5,2362.5,,
2023004209,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,P.G. RIO MEDICAMENTOS LTDA-EPP,18.841.889/0001-03,66063.9,66063.9,,
2023004210,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,ASLI COMERCIAL EIRELI EPP,01.578.276/0001-14,19040,19040,19040,19040
2023004211,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,COTAÇÃO COMÉRCIO REPRESENTAÇÃO  IMPORTAÇÃO E EXPORTAÇÃO LTDA,58.950.775/0001-08,470.14,470.14,470.14,470.14
2023004212,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,DBV COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO DO BRASIL LTDA,17.771.867/0001-43,117229.1,117229.1,26963.5,6385.94
2023004213,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,INJEX INDUSTRIAS CIRURGICAS LTDA,59.309.302/0001-99,41438.4,41438.4,41438.4,41438.4
2023004214,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,LEMAN MEDICAMENTOS E CIA LTDA,40.600.760/0001-54,5443.2,5443.2,5443.2,5443.2
2023004215,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,EXTRACOR COMERCIO E REPRESENTACOES DE MATERIAL HOSPITALAR LTDA,01.328.114/0001-28,3060,3060,3060,3060
2023004216,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,PETINELI IMPORTADORA E DISTRIBUIDORA DE MATERIAL MEDICO HOSPITALAR LTDA - ME,74.913.278/0001-96,230684985,230684.99,,
2023004217,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,THORACOM DISTRIBUIDORA E IMPORTADORA DE MATERIAL MEDICO-HOSPITALAR LTDA,28.790.652/0001-96,20724,20724,,
2023004218,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,SICAFLA COMERCIO DE PRODUTOS FARMACEUTICOS EIRELI,03.828.079/0001-31,1121229,1121.23,,
2023004219,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,ZAP COMÉRCIO DE PRODUTOS HOSPITALARES LTDA ME,72.120.744/0001-50,1053.38,1053.38,1053.38,1053.38
2023004220,Ativo,SEELJE - SEC DE EST  ESPORTE/ LAZER E JUVENTUDE,Inscrição e custeio no WSL Academy by HSM Live Case Study da World Surf League para capacitação de 01 um servidor,HSM DO BRASIL S.A.,01.619.385/0001-32,2800,2800,2800,2800
2023004221,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,INDICADORES BIOLÓGICOS EM CESSÃO DE REGIME DE COMODATO INCUBADORAS PARA LEITURA DE TESTE BIOLÓGICO AUTOCONTIDO DE LEITURA RÁPIDO,SISPACK MEDICAL LTDA,54.565.478/0001-98,15835.5,15835.5,,
2023004222,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de Medicamento,FARMACE - INDÚSTRIA QUÍMICO FARMACÊUTICA CEARENSE LTDA,06.628.333/0001-46,2079,2079,2079,2079
2023004223,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de Medicamento,JF FARMA DISTRIBUIDORA DE PRODUTOS FARMACÊUTICOS LTDA-EPP,24.079.703/0001-15,7872,7872,7872,7872
2023004224,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de Medicamento,LEMAN MEDICAMENTOS E CIA LTDA,40.600.760/0001-54,9580,9580,9580,9580
2023004225,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de Medicamento,MEDKA HOSPITALAR EIRELI,36.958.637/0001-32,56912.5,56912.5,,
2023004226,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,Contratação de empresa especialiada na prestação de serviços de apoio técnico necessário a implantação do serviço de monitoramento a ser prestado pela Central Estadual de Regulação CER do Rio de Janeiro unidade apoiada pela Fundação Saúde do Estado do Rio de Janeiro,MAIS CLEAN AMBIENTAL E CONSULTORIA LTDA.,07.726.017/0001-70,6115532.4,2197278.06,399162.94,335989.83
2023004227,Ativo,SEPLAG - Secretaria de Estado de Planejamento e Gestão,Participação de Servidores da SEPLAGRJ no seminário Contratos Week Semana Nacional de Estudos Avançados em Contratos Administrativos 10 Ediçãoque será realiado do período de 12 a 16 de junho de 2023 no formato PRESENCIAL de acordo com o item IV do Termo de Referência Documento SEI 53088452 ,INSTITUTO NEGOCIOS PUBLICOS DO BRASIL - ESTUDOS E PESQUISAS NA ADMINISTRACAO PUBLICA - INP - LTDA,10.498.974/0002-81,16197,16197,15954.04,15954.04
2023004228,Cancelado,SEPM - Secretaria de Estado de Polícia Militar,Serviços de manutenção preventiva e corretiva em veículos automotores por demanda com fornecimento de peças de reposição e acessórios originais ou genuínos,OFICINA DO CESAR,17.297.749/0001-45,44438.13,11109.54,,
2023004229,Ativo,SEPM - Secretaria de Estado de Polícia Militar,Serviços de manutenção preventiva e corretiva em veículos automotores por demanda com fornecimento de peças de reposição e acessórios originais ou genuínos,TOVÁ COMÉRCIO DE PNEUS LTDA  ,10.509.207/0001-40,104394.27,104394.27,24606.45,13763.02
2023004230,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de Material Médico Hospitalar,PETINELI IMPORTADORA E DISTRIBUIDORA DE MATERIAL MEDICO HOSPITALAR LTDA - ME,74.913.278/0001-96,48230,48230,28317.9,28317.9
2023004231,Ativo,SEPM - Secretaria de Estado de Polícia Militar,Roupeiro armário vestiário tipo alto quantidade portas 2 fechamento porta cadeado construção interna 1 cabideiro material aço tratamento antiferrugem acabamento pintura epóxi na cor cina Código do Item 71950090047 ID 116581,RIO OFFICE COMERCIO DE MOVEIS E EQUIPAMENTOS LTDA,11.496.190/0001-04,318920,318920,,
2023004232,Em Aberto,PRODERJ - CENTRO DE TECN DE INFORMAÇÃO E COMUN DO ERJ,CONTRATACAO DE PLATAFORMA DE ANONIMIZACAO E GERENCIAMENTO DE CHAVES CRIPTOGRAFICAS CONTROLE DE ACESSO VISIBILIDADE E RASTREABILIDADE DE UTILIZACAO DE DADOS EM SERVIDORES DE ARQUIVOS BANCO DE DADOS INFRAESTRUTURA EM NUVEM IAAS PLATAFORMA COMO SERVIÇO PAAS E SOFTWARE COMO SERVICO SAAS INCLUINDO SERVICO DE INSTALACAO TREINAMENTO E CONFIGURACAO DA SOLUCAO INTEGRACOES NECESSARIAS COM SOLUCOES DE TERCEIROS E SERVICOS ESPECIALIZADOS CONFORME ESPECIFICADO DO TERMO DE REFERENCIA E SEUS ANEXOS,ARS TECNOLOGIA SERVICOS E CONSULTORIA LTDA,04.189.909/0001-90,10041040,9646813.33,7570646.72,7570646.72
2023004233,Em Aberto,PROCON RJ - Proteção e Defesa do Consumidor,Serviços de hospedagem em Servidores Virtuais VPS,PRODERJ - CENTRO DE TECNOLOGIA DE INFORMACAO E COMUNICACAO DO ESTADO DO RIO DE JANEIRO,30.121.578/0001-67,110119.08,73412.72,,
2023004234,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,MOLECULAR BIOTECNOLOGIA LTDA,15.562.934/0001-94,181730,181730,179549.24,179549.24
2023004235,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,LOCCUS DO BRASIL LTDA (MATRIZ),05.094.718/0001-08,1742.4,1742.4,1742.4,1742.4
2023004237,Em Aberto,SEGOV - Secretaria de Estado de Governo,O objeto da pretensa contratação é a participação de 02 servidores da Secretaria de Estado de Governo no 10 Contratos Week Semana Nacional de Estudos Avançados em Contratos Administrativos a ser realiado no período de 12 a 16 de junho de 2023 em Fo do Iguaçu,INSTITUTO NEGOCIOS PUBLICOS DO BRASIL - ESTUDOS E PESQUISAS NA ADMINISTRACAO PUBLICA - INP - LTDA,10.498.974/0002-81,10798,10798,10636.03,10636.03
2023004238,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,9 Conferência Estadual de Saúde descentraliação,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,33.540.014/0001-57,814790.13,500000,493750,242667.32
2023004239,Ativo,SUDERJ - SUPERINTENDÊNCIA DE DESPORTOS DO ESTADO DO RJ,Participação de servidor da SUDERJ no 10 Contratos Week Semana Nacional de Estudos Avançados em Contratos Administrativos a ser realiado no período de 12 a 16 de junho de 2023 em Fo do Iguaçu,INSTITUTO NEGOCIOS PUBLICOS DO BRASIL - ESTUDOS E PESQUISAS NA ADMINISTRACAO PUBLICA - INP - LTDA,10.498.974/0002-81,5399,5399,,
2023004240,Ativo,AGETRANSP - Agência Reg Ser Púb Trans Aqua Fer Met Ro,Contratação do serviço de manutenção de 05 aparelhos de ares condicionados conforme TR,DBS AIR REFRIGERAÇÃO LTDA ME,13.352.707/0001-09,15600,7800,,
2023004241,Ativo,DETRAN - DEPARTAMENTO DE TRÂNSITO DO ESTADO DO RJ,Aquisição de certificado digital,IMPRENSA OFICIAL DO ESTADO DO RIO DE JANEIRO,28.542.017/0001-90,300,300,,
2023004242,Ativo,RIO SEGURANÇA - Instituto de Segurança Pública - ISP,Fornecimento de softwares da Suíte AdobeCreative Cloud for Teams All Apps para atender às necessidades do INSTITUTO DE SEGURANÇA PÚBLICA ISP,BUYSOFT DO BRASIL LTDA (MATRIZ),10.242.721/0001-61,5190,5190,5190,5190
2023004243,Ativo,SEIOP - SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS PUBLICAS - SEIOP,PROJETO BÁSICO PARA RECAPEAMENTO DE LOGRADOUROS NO MUNICÍPIO DE MAGÉ,GRAVISA ENGENHARIA E EMPREENDIMENTOS LTDA,17.286.183/0001-56,51394014.39,14000000,10754243.81,9969184.01
2023004244,Ativo,IVB - INSTITUTO VITAL BRAZIL SA.,Contratação emergêncial de empresa especialiada para locação de Grupo de Geradores para fornecimento de energia alternativa com abastecimento de combustível óleo diesel filtrado para sede do Instituto Vital Brail para Faenda em Cachoeira de Macacu e para a unidade de Xerém em Duque de Caxias conforme especificações técnicas quantidades e exigências estabelecidas neste instrumento durante o prao de 180 Cento e oitenta dias,BETEL DO BRASIL SERVIÇOS DISTRIBUIÇÃO E IMPORTAÇÃO LTDA,24.099.485/0001-80,1086000,565000,,
2023004245,Aguard. Liberação,SEPOL - Secretaria de Estado de Policia Civil,a aquisição vacinas e antiparasitários para atendimento da SOCCORESEPOL,MARES SERVIÇOS E COMÉRCIO DE EQUIPAMENTOS EIRELI,19.061.289/0001-87,585,585,,
2023004246,Aguard. Liberação,SEPOL - Secretaria de Estado de Policia Civil,a aquisição vacinas e antiparasitários para atendimento da SOCCORESEPOL,SUPRAMIL COMERCIAL LTDA - EPP ( MATRIZ),11.262.969/0001-57,4245,4245,,
2023004247,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO,MEDKA HOSPITALAR EIRELI,36.958.637/0001-32,1740,1740,,
2023004248,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de medicamentos para o Hospital Universitário Pedro Ernesto,BIOHOSP PRODUTOS HOSPITARES S/A,18.269.125/0001-87,11925,3339,,
